Model,Accuracy,Precision,Recall,F1,ROC-AUC
SVM,0.592306814290606,0.03633549228074463,0.8519579751671442,0.06969839037349586,0.7944604395374633
Random Forest,0.9545885172925466,0.2541351848070247,0.7924227952881248,0.3848473134905296,0.9747740222135263
